"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type"
"lw",,,"122.7","131.2","93.2","28.7","-0.5","90.3","-15.1","79.6","1.17","51.0","1.1","16.5",0
"lw",,,"132.8","146.3","100.0","29.2","-2.9","107.4","-5.3","86.8","1.15","53.9","-2.9","12.2",0
"lw",,,"127.8","139.9","97.7","31.7","3.1","111.5","8.3","86.2","1.13","55.4","-0.1","12.0",0
"lw",,,"98.0","106.9","78.5","38.9","9.7","88.9","13.2","86.2","0.91","55.9","-1.3","14.4",0
"lw",,,"94.4","101.8","76.8","36.5","9.1","79.3","6.7","84.0","0.91","53.2","1.6","18.0",0
"lw",,,"130.9","138.3","101.7","31.1","-4.6","118.9","-31.8","89.0","1.14","56.1","-0.9","14.2",0
"lw",,,"111.0","119.9","86.1","34.0","6.3","92.6","-9.2","80.8","1.07","53.8","-0.8","18.8",0
"lw",,,"125.4","135.3","93.8","26.7","-3.2","84.9","-24.2","83.0","1.13","49.3","-3.9","18.3",0
"lw",,,"92.3","99.4","78.3","40.6","14.0","92.9","10.0","83.2","0.94","57.6","4.8","25.3",0
"lw",,,"125.0","133.7","95.4","32.3","1.3","108.1","-20.7","87.4","1.09","55.2","0.8","16.4",0
"pw",,,"158.2","166.9","116.8","24.8","6.6","126.1","-16.3","92.9","1.26","54.7","-1.9","16.4",0
"pw",,,"162.9","172.6","118.4","25.2","4.8","131.8","-19.4","92.9","1.27","55.3","-0.5","16.5",0
"pw",,,"147.9","156.7","108.4","27.3","11.6","118.8","1.0","90.7","1.20","54.8","3.1","16.3",0
"pw",,,"150.5","159.2","111.9","24.0","4.5","111.7","-25.5","89.6","1.25","52.4","0.9","15.8",0
"pw",,,"150.7","159.3","112.6","24.2","-0.3","114.1","-42.5","87.4","1.29","52.6","4.0","20.7",0
"pw",,,"158.2","167.1","118.4","24.2","0.3","127.2","-39.3","88.5","1.34","54.0","0.1","19.0",0
"pw",,,"161.6","170.5","120.4","26.2","7.9","142.0","-18.9","91.8","1.31","56.9","-1.3","16.3",0
"pw",,,"135.0","143.4","101.5","25.0","9.9","93.6","-7.3","92.4","1.10","50.3","5.4","25.5",0
"pw",,,"154.1","164.1","115.2","17.5","4.9","87.3","-23.1","96.8","1.19","45.9","0.2","16.9",0
"pw",,,"159.6","168.8","116.8","24.0","4.9","122.6","-24.7","91.2","1.28","53.8","-1.8","17.6",0
"pw",,,"159.1","167.2","119.0","26.5","3.0","140.0","-36.1","90.1","1.32","56.5","0.4","15.1",0
"pw",,,"128.5","136.7","102.1","24.7","2.2","93.6","-33.5","90.1","1.13","50.0","-1.0","-1.0",8
"pw",,,"155.5","170.9","112.8","22.6","-2.2","106.8","-4.2","94.6","1.19","51.2","1.8","17.3",0
"9i",,,"163.4","172.9","121.5","20.3","3.3","114.0","-32.8","92.4","1.32","50.8","-1.0","-1.0",4
