"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type"
"lw",,,"131.3","141.9","100.6","16.8","8.4","59.1","-0.2","81.2","1.24","38.9","-0.2","19.8",0
"lw",,,"120.3","130.5","89.1","35.0","11.6","102.4","24.3","84.6","1.05","55.9","-1.0","-1.0",1
"lw",,,"132.7","140.4","101.2","30.3","4.7","114.1","2.8","87.0","1.16","55.3","-1.0","-1.0",4
"lw",,,"120.6","130.1","93.2","36.6","7.0","117.4","-1.3","84.6","1.10","58.5","-1.0","-1.0",1
"lw",,,"51.6","85.0","103.2","4.9","1.7","13.0","-4.1","90.1","1.14","13.5","2.5","20.4",0
"lw",,,"139.9","148.6","102.8","28.9","-3.1","112.4","-27.9","92.4","1.11","54.5","2.3","22.2",0
"lw",,,"146.8","155.7","108.4","33.5","-5.4","144.8","-40.0","91.8","1.18","60.3","-1.0","-1.0",1
"lw",,,"115.8","125.6","96.2","42.2","9.4","143.7","12.3","89.6","1.07","65.8","-1.9","13.4",0
"lw",,,"129.1","138.1","100.0","29.8","-7.2","109.9","-39.9","87.9","1.14","54.3","4.9","20.0",0
"pw",,,"99.0","106.7","88.8","25.0","3.2","69.0","-21.5","87.9","1.01","45.4","-1.0","-1.0",1
"pw",,,"133.7","141.3","104.6","23.4","-5.0","93.6","-49.8","90.1","1.16","49.4","-1.0","-1.0",1
"pw",,,"148.5","159.3","111.3","20.6","-14.3","94.9","-71.2","94.6","1.18","48.4","-1.0","-1.0",1
"pw",,,"159.6","168.5","114.9","23.1","3.4","114.1","-25.1","94.0","1.22","52.4","-2.1","13.0",0
"pw",,,"144.2","151.8","111.4","22.0","1.0","101.2","-42.5","89.1","1.25","49.9","-1.0","-1.0",1
"pw",,,"172.4","181.1","124.4","21.6","2.1","127.2","-29.9","96.2","1.29","52.7","0.7","24.6",0
"pw",,,"165.1","174.0","120.7","25.5","9.9","138.7","11.6","97.4","1.24","56.6","4.5","20.5",0
"pw",,,"153.0","161.1","115.2","25.9","6.5","128.0","-23.7","91.5","1.26","55.2","3.9","21.8",0
"9i",,,"134.9","144.4","112.2","16.5","-7.9","76.9","-57.4","99.0","1.13","43.4","0.1","16.9",0
"9i",,,"158.5","167.9","120.8","19.9","2.2","110.6","-44.1","93.5","1.29","50.4","2.5","25.1",0
"9i",,,"173.7","183.0","128.0","21.5","1.7","134.2","-41.7","95.1","1.35","53.3","-1.0","-1.0",1
"9i",,,"150.9","160.3","108.0","25.8","13.8","111.2","17.8","84.0","1.29","53.0","3.9","18.6",0
"9i",,,"170.6","180.3","126.3","20.1","-2.5","122.4","-51.9","94.6","1.34","51.3","2.2","19.5",0
"9i",,,"157.7","167.3","118.6","19.3","1.5","102.9","-42.2","92.9","1.28","49.1","2.6","19.3",0
"9i",,,"141.1","150.1","106.6","24.6","7.5","103.2","-17.3","91.1","1.17","51.4","1.7","14.9",0
"9i",,,"148.2","156.1","116.2","21.0","1.3","106.4","-45.5","94.0","1.24","50.5","6.3","23.8",0
"9i",,,"156.6","168.5","115.8","19.9","-5.9","100.1","-61.7","91.0","1.27","48.9","-1.0","-1.0",1
"7i",,,"157.4","166.9","135.0","14.4","-3.4","104.1","-67.3","99.6","1.36","46.0","-1.2","12.2",0
"7i",,,"165.3","180.0","119.3","16.0","9.0","87.4","-15.4","94.6","1.26","45.5","-1.0","-1.0",1
