"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type"
"lw",,,"115.5","126.5","92.7","42.5","13.8","134.7","25.4","82.9","1.12","64.8","-1.0","17.2",0
"lw",,,"132.2","144.0","95.2","35.6","13.3","119.3","21.4","86.2","1.10","58.3","-1.0","-1.0",1
"lw",,,"121.5","131.1","96.1","20.4","5.9","65.6","-14.6","83.0","1.16","42.8","-4.7","17.3",0
"lw",,,"98.4","110.2","77.1","37.4","12.9","82.0","18.0","76.6","1.01","53.7","0.3","13.7",0
"lw",,,"106.7","118.4","80.3","35.3","14.8","83.3","26.3","85.7","0.94","53.0","-3.8","15.8",0
"lw",,,"145.3","156.8","101.7","30.3","4.2","115.6","-11.1","88.5","1.15","55.0","-2.9","15.3",0
"lw",,,"128.6","141.4","96.2","30.3","-1.7","102.7","-2.5","84.7","1.14","53.1","-1.8","22.9",0
"lw",,,"133.4","146.5","99.6","30.7","1.0","112.0","3.8","89.0","1.12","54.6","0.1","21.1",0
"lw",,,"138.5","150.9","103.2","30.8","0.6","121.2","3.0","95.1","1.09","55.9","-4.9","17.8",0
"lw",,,"132.7","143.1","98.5","32.4","0.1","116.2","-31.9","92.4","1.07","55.9","-1.4","19.2",0
"lw",,,"133.1","142.4","101.4","34.9","7.2","132.6","7.1","90.7","1.12","59.4","-1.0","-1.0",4
"lw",,,"114.2","121.6","91.2","34.8","10.2","106.7","8.0","89.1","1.02","56.0","-1.2","15.0",0
"lw",,,"131.6","143.9","99.7","33.5","4.5","122.9","11.9","90.7","1.10","57.3","-4.3","15.5",0
"lw",,,"57.4","114.5","120.1","2.4","3.7","13.4","-2.6","92.3","1.30","12.8","-2.9","20.6",0
"lw",,,"137.1","148.9","100.1","37.8","6.9","139.5","6.5","92.4","1.08","61.9","-0.2","18.4",0
"lw",,,"136.0","148.0","102.9","34.2","5.0","133.5","13.4","85.9","1.20","58.9","1.1","19.8",0
"lw",,,"115.9","126.9","92.7","38.1","13.7","121.3","28.7","87.1","1.06","59.9","3.0","19.0",0
"pw",,,"164.6","181.1","116.2","19.9","1.3","101.2","5.6","90.3","1.29","48.8","-3.8","18.5",0
"pw",,,"148.8","163.9","108.8","23.0","4.5","100.3","13.4","88.6","1.23","50.4","0.0","16.2",0
"pw",,,"140.6","154.4","105.1","27.6","14.3","112.3","36.2","88.5","1.19","54.2","3.2","21.1",0
"pw",,,"148.4","162.9","109.1","24.5","6.2","107.8","17.8","90.1","1.21","52.1","-0.5","18.0",0
"pw",,,"176.4","187.1","126.2","24.9","5.6","149.2","-19.3","92.4","1.37","56.4","1.5","25.9",0
"pw",,,"157.6","172.1","115.8","25.1","7.8","125.2","23.3","96.8","1.20","54.8","-0.1","19.1",0
"pw",,,"178.3","190.6","122.9","21.9","-1.1","125.4","-43.9","94.6","1.30","52.6","-0.2","18.3",0
"pw",,,"176.6","187.8","125.1","24.1","2.4","142.5","-32.1","93.5","1.34","55.5","-1.2","19.1",0
"pw",,,"115.4","123.8","97.4","23.3","6.1","78.8","-19.2","86.2","1.13","47.0","-1.1","20.5",0
"pw",,,"161.0","171.2","118.2","20.9","5.0","110.3","-28.8","97.9","1.21","51.0","1.4","32.4",0
"pw",,,"151.0","164.8","112.5","26.8","13.7","125.7","37.5","96.2","1.17","55.8","-0.9","16.7",0
"pw",,,"180.0","194.7","125.7","23.6","8.6","141.1","28.8","92.6","1.36","55.1","-3.5","17.4",0
"pw",,,"169.7","181.0","119.1","27.3","10.2","143.8","0.5","95.1","1.25","57.8","0.6","14.4",0
"pw",,,"154.0","168.8","113.6","23.4","12.5","112.1","35.1","99.6","1.14","52.7","-0.1","31.4",0
"pw",,,"153.1","163.9","111.6","33.8","14.9","154.6","56.3","96.2","1.16","62.7","-3.7","12.7",0
"pw",,,"168.8","179.4","120.5","27.7","5.1","149.6","-10.8","95.7","1.26","58.3","-0.2","12.7",0
"pw",,,"167.1","181.5","121.0","25.0","4.2","137.2","14.1","94.0","1.29","55.9","-1.7","16.6",0
"pw",,,"168.3","178.3","121.2","25.6","4.3","140.8","-24.1","91.6","1.32","56.3","0.8","18.2",0
"lw",,,"143.7","153.9","105.7","33.3","5.4","137.2","6.2","96.2","1.10","59.6","-1.7","18.4",0
"lw",,,"147.9","160.0","106.2","34.5","4.7","143.5","-2.3","84.7","1.25","60.7","-0.8","20.0",0
"lw",,,"137.8","150.3","104.9","30.8","5.7","124.8","15.4","94.0","1.12","57.0","-0.8","20.2",0
"lw",,,"150.2","159.5","110.7","30.3","6.0","137.0","-4.2","91.5","1.21","58.3","-2.2","22.0",0
"lw",,,"160.2","179.6","113.2","16.6","6.1","78.9","18.8","93.5","1.21","43.3","0.3","17.2",0
"pw",,,"156.6","173.2","112.6","19.7","-3.0","92.6","-6.4","94.6","1.19","47.7","0.9","18.5",0
"pw",,,"160.2","175.5","115.1","21.9","0.9","108.7","4.4","94.0","1.22","51.1","-1.0","-1.0",1
"pw",,,"170.3","189.0","118.6","15.7","-5.9","83.7","-15.6","94.0","1.26","43.8","-5.3","18.3",0
